tick,killerId,killedId
3169,3,0
4329,0,3
4442,0,1
5294,3,0
5574,3,2
6842,1,0
7368,1,2
7955,0,1
8478,3,0
8823,2,3
9458,1,2
10031,3,0
10561,1,2
10900,2,1
11282,0,3
11293,3,0
12398,3,2
12622,0,1
12706,3,0
13359,2,3
14542,1,2
14891,-1,3
16075,1,0
16606,3,2
16786,0,3
16898,0,1
17640,3,0
18217,2,3
18729,0,1
19854,1,2
19883,2,1
20114,0,3
20617,1,0
22096,3,0
22355,2,1
22430,3,2
23755,3,0
25154,1,2
25324,0,1
25422,3,0
