tick,killerId,killedId
2473,1,0
3712,-1,1
4248,0,3
4588,2,1
5297,3,0
5815,1,2
6514,1,0
6688,2,1
7845,0,3
8029,0,1
8856,0,3
9036,0,1
9789,3,2
10022,-1,1
10300,3,0
11561,-1,0
11978,3,2
12729,0,3
12872,0,1
13753,0,3
14189,1,2
14512,0,1
14683,3,0
15518,-1,2
16073,1,0
16995,3,2
17052,0,1
17070,1,0
18109,3,2
18206,-1,3
18779,1,0
