tick,killerId,killedId
3126,2,3
3296,2,1
4243,1,0
4997,3,2
5281,0,3
5579,1,0
7057,2,3
7502,1,2
7881,3,0
9156,0,1
9410,0,3
10695,3,2
11270,0,1
11907,0,3
13014,1,2
14238,0,3
14330,1,0
14445,2,1
15858,2,3
16295,1,2
16668,1,0
17516,1,2
17571,0,1
17937,3,0
